id,Year,Region,TrackCat,Kilometer,Devices
107,2006,Wallonia,Main tracks,2993,1847
35,2006,Flanders,Secondary tracks,1560,4382
34,2006,Brussels,Secondary tracks,237,939
69,2006,Wallonia,Secondary tracks,989,3057
106,2006,Flanders,Main tracks,2998,2073
105,2006,Brussels,Main tracks,264,526
31,2007,Brussels,Main tracks,264,520
32,2007,Flanders,Main tracks,2987,2084
33,2007,Wallonia,Main tracks,2989,1834
68,2007,Flanders,Secondary tracks,1560,4331
103,2007,Brussels,Secondary tracks,237,899
104,2007,Wallonia,Secondary tracks,989,2931
30,2008,Wallonia,Secondary tracks,977,2780
67,2008,Flanders,Main tracks,3071,2131
101,2008,Flanders,Secondary tracks,1564,4254
65,2008,Brussels,Main tracks,289,543
66,2008,Brussels,Secondary tracks,237,870
102,2008,Wallonia,Main tracks,2968,1836
28,2009,Flanders,Main tracks,3139,2152
64,2009,Wallonia,Main tracks,3007,1826
63,2009,Flanders,Secondary tracks,1345,4133
99,2009,Brussels,Main tracks,290,548
100,2009,Brussels,Secondary tracks,216,848
29,2009,Wallonia,Secondary tracks,835,2711
62,2010,Flanders,Secondary tracks,1394,4096
61,2010,Brussels,Secondary tracks,213,846
60,2010,Brussels,Main tracks,293,550
27,2010,Wallonia,Secondary tracks,827,2646
98,2010,Flanders,Main tracks,3143,2146
26,2010,Wallonia,Main tracks,3006,1817
25,2011,Wallonia,Secondary tracks,858,2609
57,2011,Brussels,Secondary tracks,214,814
58,2011,Flanders,Main tracks,3148,2164
59,2011,Flanders,Secondary tracks,1484,4096
97,2011,Brussels,Main tracks,292,538
24,2011,Wallonia,Main tracks,3006,1786
95,2012,Flanders,Main tracks,3176,2176
96,2012,Wallonia,Main tracks,2995,1779
21,2012,Brussels,Secondary tracks,219,793
22,2012,Flanders,Secondary tracks,1389,4067
23,2012,Wallonia,Secondary tracks,898,2467
56,2012,Brussels,Main tracks,297,515
92,2013,Brussels,Secondary tracks,167,551
93,2013,Wallonia,Main tracks,2992,1782
20,2013,Flanders,Secondary tracks,1300,3361
54,2013,Brussels,Main tracks,299,481
55,2013,Flanders,Main tracks,3181,2145
94,2013,Wallonia,Secondary tracks,817,1800
90,2014,Flanders,Main tracks,3228,2146
91,2014,Flanders,Secondary tracks,1285,3201
53,2014,Brussels,Secondary tracks,168,539
17,2014,Brussels,Main tracks,308,470
18,2014,Wallonia,Main tracks,2986,1693
19,2014,Wallonia,Secondary tracks,826,1782
51,2015,Brussels,Secondary tracks,168,536
86,2015,Brussels,Main tracks,306,460
87,2015,Flanders,Main tracks,3225,2148
89,2015,Wallonia,Secondary tracks,847,1634
88,2015,Flanders,Secondary tracks,1281,3081
52,2015,Wallonia,Main tracks,2983,1648
14,2016,Flanders,Secondary tracks,1275,2986
49,2016,Brussels,Secondary tracks,168,533
48,2016,Brussels,Main tracks,310,457
16,2016,Wallonia,Secondary tracks,822,1529
15,2016,Wallonia,Main tracks,2979,1600
50,2016,Flanders,Main tracks,3222,2123
47,2017,Flanders,Secondary tracks,1146,2844
85,2017,Wallonia,Main tracks,2979,1568
13,2017,Wallonia,Secondary tracks,648,1534
84,2017,Flanders,Main tracks,3225,2103
83,2017,Brussels,Main tracks,311,451
12,2017,Brussels,Secondary tracks,167,531
80,2018,Brussels,Secondary tracks,138,471
11,2018,Flanders,Secondary tracks,1149,2809
82,2018,Wallonia,Secondary tracks,639,1439
81,2018,Wallonia,Main tracks,2948,1537
79,2018,Brussels,Main tracks,320,471
46,2018,Flanders,Main tracks,3247,2091
77,2019,Brussels,Main tracks,319,462
78,2019,Wallonia,Main tracks,2949,1515
8,2019,Flanders,Main tracks,3266,2080
9,2019,Flanders,Secondary tracks,1146,2701
10,2019,Wallonia,Secondary tracks,640,1362
45,2019,Brussels,Secondary tracks,136,449
7,2020,Wallonia,Secondary tracks,625,1337
44,2020,Flanders,Main tracks,3271,2040
76,2020,Wallonia,Main tracks,2949,1510
42,2020,Brussels,Main tracks,312,465
43,2020,Brussels,Secondary tracks,135,436
75,2020,Flanders,Secondary tracks,1132,2672
74,2021,Wallonia,Main tracks,2945,1510
41,2021,Flanders,Main tracks,3276,2038
5,2021,Brussels,Main tracks,313,466
72,2021,Brussels,Secondary tracks,128,422
73,2021,Flanders,Secondary tracks,1080,2601
6,2021,Wallonia,Secondary tracks,587,1345
1,2022,Flanders,Main tracks,3289,2028
2,2022,Flanders,Secondary tracks,1044,2610
3,2022,Wallonia,Main tracks,2950,1514
4,2022,Wallonia,Secondary tracks,587,1350
40,2022,Brussels,Main tracks,314,468
71,2022,Brussels,Secondary tracks,114,410
70,2023,Wallonia,Secondary tracks,583,1337
36,2023,Brussels,Secondary tracks,115,414
37,2023,Flanders,Main tracks,3294,2012
38,2023,Flanders,Secondary tracks,1048,2599
39,2023,Wallonia,Main tracks,2954,1516
0,2023,Brussels,Main tracks,317,473
